label,way_id,start_idx,end_idx,oneway,highway,name,closed_way,result
渋谷→六本木,821526545,47,48,yes,secondary,六本木通り,False,forward_travel
渋谷→六本木,922476290,48,49,yes,secondary,六本木通り,False,forward_travel
渋谷→六本木,821526546,49,50,yes,secondary,六本木通り,False,forward_travel
渋谷→六本木,284075900,50,52,yes,secondary,六本木通り,False,forward_travel
渋谷→六本木,775539564,52,53,yes,secondary,六本木通り,False,forward_travel
渋谷→六本木,1035575359,53,54,yes,secondary,六本木通り,False,forward_travel
渋谷→六本木,1118680559,54,55,yes,secondary,六本木通り,False,forward_travel
渋谷→六本木,934924983,55,56,yes,secondary,六本木通り(高樹町),False,forward_travel
渋谷→六本木,261065066,56,57,yes,secondary,六本木通り(高樹町),False,forward_travel
渋谷→六本木,934924985,57,64,yes,secondary,六本木通り(側道),False,forward_travel
渋谷→六本木,17620011,64,65,yes,secondary,六本木通り,False,forward_travel
渋谷→六本木,852789779,65,66,yes,secondary,六本木通り,False,forward_travel
渋谷→六本木,852789786,66,69,yes,secondary,六本木通り,False,forward_travel
渋谷→六本木,1208277135,69,70,yes,secondary,六本木通り,False,forward_travel
渋谷→六本木,724685826,70,71,yes,secondary_link,六本木通り,False,forward_travel
渋谷→六本木,724685825,71,74,yes,secondary_link,六本木通り,False,forward_travel
渋谷→六本木,898573320,74,75,yes,secondary_link,Roppongi dori,False,forward_travel
渋谷→六本木,888162700,75,76,yes,secondary_link,Roppongi dori,False,forward_travel
渋谷→六本木,724685823,76,78,yes,primary_link,(六本木六丁目),False,forward_travel
渋谷→六本木,203832858,78,79,yes,primary_link,(六本木六丁目),False,forward_travel
渋谷→六本木,888162705,79,80,yes,primary_link,(六本木六丁目),False,forward_travel
渋谷→六本木,257223005,80,81,yes,primary_link,,False,forward_travel
渋谷→六本木,257224642,81,83,yes,unclassified,,False,forward_travel
渋谷→六本木,724685821,83,86,yes,service,,False,forward_travel
渋谷→六本木,390735636,91,94,yes,service,,False,forward_travel
渋谷→六本木,390735638,94,99,yes,service,,False,forward_travel
渋谷→六本木,390852603,99,100,yes,service,,False,forward_travel
渋谷→六本木,1051722758,100,101,yes,service,,False,forward_travel
渋谷→六本木,390735628,101,104,yes,service,,False,forward_travel
下北沢→三軒茶屋,41949455,2,3,yes,unclassified,,False,forward_travel
下北沢→三軒茶屋,41949457,3,7,yes,unclassified,下北沢南口商店街,False,forward_travel
下北沢→三軒茶屋,31856617,7,12,yes,unclassified,下北沢南口商店街,False,forward_travel
高円寺→中野,1290585555,3,4,yes,unclassified,,False,bicycle_exempt
高円寺→中野,101706602,4,7,yes,unclassified,,False,bicycle_exempt
高円寺→中野,101706556,7,9,yes,unclassified,,False,bicycle_exempt
高円寺→中野,328155325,16,17,yes,primary,環七通り,False,bicycle_exempt
高円寺→中野,62263412,19,21,yes,unclassified,,False,bicycle_exempt
高円寺→中野,219064991,35,36,yes,service,三番街,False,bicycle_exempt
荻窪→阿佐ヶ谷,92039093,0,2,yes,residential,,False,bicycle_exempt
自由が丘→等々力,58420262,0,1,yes,residential,E通り,False,forward_travel
自由が丘→等々力,51984628,1,2,yes,residential,E通り,False,forward_travel
浦和→さいたま新都心,444227691,1,2,yes,unclassified,,False,bicycle_exempt
浦和→さいたま新都心,174712188,49,54,yes,tertiary_link,,False,forward_travel
浦和→さいたま新都心,174712185,54,57,yes,tertiary_link,,False,forward_travel
浦和→さいたま新都心,813470388,57,60,yes,secondary,さいたま北袋線,False,forward_travel
浦和→さいたま新都心,813470387,60,61,yes,secondary,さいたま北袋線,False,forward_travel
