label,sample_idx,route_idx,lat,lng,candidate_count,node_rank1_way_id,perp_rank1_way_id,perp_rank1_highway,perp_rank1_oneway,perp_rank1_name,rank2_way_id,rank2_highway,rank2_dist_m,match_dist_m,match_margin_m,match_ambiguous,verify_group,known_group_node_rank1,known_group_perp_rank1,oneway_violation,oneway_confidence,oneway_misaligned,diag_angle_deg
下北沢→三軒茶屋,1,1,35.66121,139.66946,88,31824941,31824941,tertiary,,茶沢通り,1076444529,pedestrian,3.806,0.021,3.785,False,,,,False,0.0,True,114.2
下北沢→三軒茶屋,2,2,35.66018,139.66883,88,31824941,31824941,tertiary,,茶沢通り,33614319,unclassified,1.318,1.076,0.241,True,,,,False,0.0,False,176.5
下北沢→三軒茶屋,3,3,35.65847,139.66828,88,31824941,31824941,tertiary,,茶沢通り,1455713749,footway,6.246,1.431,4.816,False,,,,False,0.0,False,176.4
下北沢→三軒茶屋,4,4,35.65767,139.66775,88,31824941,1455713691,tertiary,,茶沢通り,31824941,tertiary,2.136,0.379,1.756,True,,,,False,0.0,False,7.7
下北沢→三軒茶屋,5,5,35.65602,139.66749,88,32623898,1455713691,tertiary,,茶沢通り,41949703,residential,2.687,1.035,1.652,True,,,,False,0.0,False,3.7
下北沢→三軒茶屋,6,6,35.65539,139.66749,88,32623771,32623771,unclassified,,,1455713691,tertiary,1.394,1.303,0.09,True,,,,False,0.0,True,92.3
下北沢→三軒茶屋,7,7,35.65502,139.66727,88,1455713691,1455713691,tertiary,,茶沢通り,1455626153,footway,5.294,0.237,5.058,False,,,,False,0.0,False,5.1
下北沢→三軒茶屋,8,8,35.65433,139.6672,88,1455626148,174526353,tertiary,,茶沢通り,1455626149,footway,3.536,1.547,1.989,True,,,,False,0.0,False,5.6
下北沢→三軒茶屋,9,9,35.65305,139.66719,88,48728743,174526353,tertiary,,茶沢通り,48728743,residential,1.299,1.121,0.178,True,,,,False,0.0,False,1.5
下北沢→三軒茶屋,10,10,35.65086,139.66731,88,174526353,174526353,tertiary,,茶沢通り,277209534,secondary,1.62,1.378,0.242,True,,,,False,0.0,False,5.5
下北沢→三軒茶屋,11,11,35.64963,139.66772,88,1245239907,900818661,tertiary,,茶沢通り,1286492781,footway,1.691,1.172,0.52,True,,,,False,0.0,False,4.3
下北沢→三軒茶屋,12,12,35.64551,139.67034,88,26950358,26950358,tertiary,,茶沢通り,36710485,service,0.392,0.03,0.362,True,,,,False,0.0,False,0.3
下北沢→三軒茶屋,13,13,35.6436,139.67107,88,261193601,1034261843,primary,,世田谷通り;三軒茶屋,1034261844,tertiary,2.024,1.475,0.549,True,,,,False,0.0,True,69.3
下北沢→三軒茶屋,14,14,35.64365,139.67116,88,252731098,1034261845,trunk,yes,玉川通り;三軒茶屋,1034261846,footway,2.122,1.383,0.739,True,,,,False,0.0,True,103.9
高円寺→中野,0,0,35.70566,139.65054,55,193752446,328155326,tertiary,,,193752446,service,2.787,1.478,1.309,True,,,,False,0.0,False,177.0
高円寺→中野,1,2,35.70553,139.65197,55,75889835,177661137,residential,yes,,328155326,tertiary,1.248,0.222,1.026,True,,,,False,0.0,True,103.3
高円寺→中野,2,3,35.70567,139.65762,55,60433913,107538703,unclassified,,,60433913,residential,2.488,0.441,2.047,False,,,,False,0.0,False,2.3
高円寺→中野,3,5,35.70544,139.65818,55,62263412,223300003,unclassified,,,223300016,unclassified,0.397,0.192,0.205,True,,,,False,0.0,True,60.6
高円寺→中野,4,6,35.7055,139.66049,55,49175544,62263412,unclassified,yes,,49175544,unclassified,41.723,0.192,41.531,False,,,,False,0.0,False,179.5
高円寺→中野,5,7,35.70549,139.66169,55,49175544,49175544,unclassified,,,64378178,residential,13.546,0.602,12.944,False,,,,False,0.0,False,179.4
高円寺→中野,6,8,35.70544,139.66273,55,49175544,49175544,unclassified,,,58206774,service,3.973,1.252,2.72,False,,,,False,0.0,False,179.9
高円寺→中野,7,9,35.70545,139.66424,55,49175544,49175544,unclassified,,,1330235066,unclassified,2.771,1.218,1.553,True,,,,False,0.0,False,179.0
高円寺→中野,8,11,35.70544,139.66536,55,1092867993,948945646,unclassified,,,326864721,footway,4.077,0.788,3.29,False,,,,False,0.0,False,143.6
高円寺→中野,9,12,35.70613,139.66535,55,676591001,687171297,secondary,,中野通り,676591001,secondary,1.936,1.799,0.137,True,,,,False,0.0,False,173.8
荻窪→阿佐ヶ谷,0,0,35.70425,139.62101,63,1073928340,131838513,tertiary,yes,,131841691,footway,4.597,0.251,4.346,False,,,,False,0.0,False,4.7
荻窪→阿佐ヶ谷,1,1,35.70435,139.62172,63,131838512,131838512,tertiary,yes,,131841690,footway,4.354,0.476,3.878,False,,,,False,0.0,False,2.1
荻窪→阿佐ヶ谷,2,2,35.70437,139.62238,63,39816294,39816294,tertiary,,,1071007332,tertiary,1.326,1.294,0.032,True,,,,False,0.0,False,133.1
荻窪→阿佐ヶ谷,3,3,35.7044,139.62297,63,80832757,80832757,tertiary,,,566652198,footway,4.436,0.373,4.063,False,,,,False,0.0,False,176.6
荻窪→阿佐ヶ谷,4,4,35.70354,139.62639,63,566652201,1352004080,tertiary,,,566652201,tertiary,3.295,0.535,2.76,False,,,,False,0.0,False,0.6
荻窪→阿佐ヶ谷,5,6,35.70328,139.62749,63,80833412,168918384,primary,yes,青梅街道,80833412,residential,4.179,3.722,0.458,True,,,,False,0.0,False,35.5
荻窪→阿佐ヶ谷,6,7,35.70383,139.62758,63,80833412,80833688,residential,,,80833767,residential,1.649,0.373,1.276,True,,,,False,0.0,False,120.1
