label,sample_idx,route_idx,lat,lng,candidate_count,rank1_way_id,rank1_highway,rank1_bicycle,rank1_access,rank1_oneway,rank1_name,rank1_dist_m,rank2_way_id,rank2_highway,rank2_bicycle,rank2_access,rank2_oneway,rank2_name,rank2_dist_m,match_margin_m,match_ambiguous_2m,pair_local_angle_deg,pair_shared_node,pair_pattern,filtered_candidate_count,filtered_rank1_way_id,filtered_rank1_highway,filtered_rank1_dist_m,filtered_rank2_way_id,filtered_rank2_highway,filtered_rank2_dist_m,filtered_margin_m,filtered_ambiguous_2m,ambiguity_changed_2m
東京→渋谷,17,18,35.65958,139.7419,342,858775692,primary,,,yes,外苑東通り,0.215,1254228152,footway,yes,,,,3.562,3.348,False,0.9,False,(b) 車道と並走する歩道・自転車道,147,858775692,primary,0.215,1254228152,footway,3.562,3.348,False,False
東京→渋谷,18,19,35.66017,139.74041,342,858775692,primary,,,yes,外苑東通り,0.802,682315373,footway,,,,,4.484,3.682,False,0.2,False,(b) 車道と並走する歩道・自転車道,147,858775692,primary,0.802,271979254,primary,7.664,6.862,False,False
東京→渋谷,19,20,35.66114,139.73794,342,1344791873,primary,,,yes,外苑東通り,0.078,1344791874,secondary,,,yes,高輪麻布線,2.184,2.106,False,86.6,True,(c) 交差点付近の交差・接続way,147,1344791873,primary,0.078,1344791874,secondary,2.184,2.106,False,False
東京→渋谷,20,21,35.66224,139.73429,342,271979231,primary,,,yes,外苑東通り,0.165,927004529,footway,,,,,2.298,2.133,False,88.9,True,(c) 交差点付近の交差・接続way,147,271979231,primary,0.165,40969772,unclassified,5.542,5.377,False,False
東京→渋谷,21,22,35.66315,139.73238,342,271979231,primary,,,yes,外苑東通り,0.943,927004516,secondary,,,yes,六本木通り,3.341,2.399,False,60.3,True,(c) 交差点付近の交差・接続way,147,271979231,primary,0.943,927004516,secondary,3.341,2.399,False,False
東京→渋谷,22,23,35.66245,139.73082,342,927004519,secondary,,,yes,六本木通り,1.025,693373501,footway,,,,,7.06,6.035,False,1.2,False,(b) 車道と並走する歩道・自転車道,147,927004519,secondary,1.025,724042304,secondary_link,117.15,116.125,False,False
東京→渋谷,23,24,35.66101,139.72778,342,888162704,secondary,,,yes,六本木通り,1.327,755562447,footway,,,,,3.378,2.051,False,1.4,False,(b) 車道と並走する歩道・自転車道,147,888162704,secondary,1.327,724685825,secondary_link,11.946,10.618,False,False
東京→渋谷,24,25,35.66028,139.72567,342,888162704,secondary,,,yes,六本木通り,0.17,755562446,footway,,,,霞坂,4.396,4.226,False,0.2,False,(b) 車道と並走する歩道・自転車道,147,888162704,secondary,0.17,724685826,secondary_link,17.399,17.228,False,False
東京→渋谷,25,26,35.6598,139.72435,342,122928192,residential,,,,,0.862,261065059,secondary,,,yes,六本木通り,3.086,2.224,False,87.4,True,(c) 交差点付近の交差・接続way,147,122928192,residential,0.862,261065059,secondary,3.086,2.224,False,False
東京→渋谷,26,27,35.65943,139.72214,342,261065068,secondary,,,yes,六本木通り,1.204,755562443,footway,,,,笄坂,3.618,2.414,False,1.6,False,(b) 車道と並走する歩道・自転車道,147,261065068,secondary,1.204,253070422,secondary,9.874,8.67,False,False
東京→渋谷,27,28,35.65924,139.72,342,755562444,footway,,,,,3.488,261065068,secondary,,,yes,六本木通り,5.545,2.056,False,0.0,False,(b) 車道と並走する歩道・自転車道,147,261065068,secondary,5.545,253070416,secondary,12.8,7.256,False,False
東京→渋谷,28,29,35.65925,139.71909,342,935686680,secondary,,,yes,六本木通り(高樹町),2.784,755562444,footway,,,,,3.891,1.106,True,3.4,False,(b) 車道と並走する歩道・自転車道,147,935686680,secondary,2.784,935686673,unclassified,5.71,2.926,False,True
東京→渋谷,29,30,35.65894,139.71543,342,775539561,secondary,,,yes,六本木通り,0.861,775539562,secondary,,,,,3.0,2.139,False,86.0,True,(c) 交差点付近の交差・接続way,147,775539561,secondary,0.861,775539562,secondary,3.0,2.139,False,False
東京→渋谷,30,31,35.65862,139.71248,342,922476289,secondary,,,yes,六本木通り,1.732,350053191,tertiary,,,,,5.445,3.713,False,79.3,True,(c) 交差点付近の交差・接続way,147,922476289,secondary,1.732,350053191,tertiary,5.445,3.713,False,False
東京→渋谷,31,32,35.65823,139.70837,342,141293470,tertiary,,,,八幡通り,1.601,922476295,secondary,,,yes,六本木通り,2.148,0.546,True,55.7,True,(c) 交差点付近の交差・接続way,147,141293470,tertiary,1.601,922476295,secondary,2.148,0.546,True,False
東京→渋谷,32,33,35.65811,139.70618,342,284075894,secondary,,,yes,六本木通り,0.514,141293465,residential,,,,,5.231,4.717,False,88.2,True,(c) 交差点付近の交差・接続way,147,284075894,secondary,0.514,141293465,residential,5.231,4.717,False,False
東京→渋谷,33,34,35.65805,139.70434,342,852978896,secondary,,,yes,六本木通り,1.498,211402007,service,,,yes,,1.905,0.407,True,89.2,True,(c) 交差点付近の交差・接続way,147,852978896,secondary,1.498,211402007,service,1.905,0.407,True,False
東京→渋谷,34,37,35.65792,139.70353,342,680253718,pedestrian,,,,,0.363,664521510,footway,,,,,3.158,2.795,False,0.1,False,(d) その他,147,172125347,trunk,9.905,852978892,primary,13.01,3.105,False,False
品川→東京,0,0,35.62877,139.74184,313,680899281,unclassified,,,yes,,1.218,680899279,footway,,,,,9.646,8.428,False,13.2,False,(b) 車道と並走する歩道・自転車道,144,680899281,unclassified,1.218,987102531,service,12.348,11.13,False,False
品川→東京,1,2,35.6289,139.74222,313,172281628,unclassified,,,yes,,0.406,172281627,footway,,,,,0.409,0.003,True,86.5,True,(c) 交差点付近の交差・接続way,144,172281628,unclassified,0.406,31986707,unclassified,13.5,13.093,False,True
品川→東京,2,5,35.62903,139.74278,313,172281627,footway,,,,,0.951,23690216,unclassified,,,yes,,2.13,1.179,True,87.8,True,(c) 交差点付近の交差・接続way,144,23690216,unclassified,2.13,172281628,unclassified,17.79,15.66,False,True
品川→東京,3,6,35.62949,139.74285,313,172281624,unclassified,,,,,0.12,1035597852,tertiary,,,yes,,0.955,0.834,True,87.5,True,(c) 交差点付近の交差・接続way,144,172281624,unclassified,0.12,1035597852,tertiary,0.955,0.834,True,False
品川→東京,4,7,35.62945,139.74351,313,265010603,tertiary,,,yes,,0.181,558518250,pedestrian,,,,,1.046,0.865,True,89.7,True,(c) 交差点付近の交差・接続way,144,265010603,tertiary,0.181,74446952,tertiary,8.018,7.837,False,True
品川→東京,5,8,35.63012,139.74357,313,558518250,pedestrian,,,,,0.369,582256211,pedestrian,,,,,1.672,1.304,True,89.5,True,(c) 交差点付近の交差・接続way,144,265010600,unclassified,58.914,265010603,tertiary,74.432,15.518,False,True
品川→東京,6,11,35.63051,139.74365,313,558518250,pedestrian,,,,,2.875,558518249,pedestrian,,,,,20.087,17.212,False,89.5,True,(c) 交差点付近の交差・接続way,144,265010600,unclassified,62.528,265010603,tertiary,118.013,55.485,False,False
品川→東京,7,14,35.63065,139.74447,313,558518249,pedestrian,,,,,4.335,1450174835,footway,,,,,48.72,44.385,False,0.6,False,(d) その他,144,356912946,primary,55.699,265010600,unclassified,135.167,79.467,False,False
品川→東京,8,15,35.6314,139.74456,313,558518249,pedestrian,,,,,3.737,1450174835,footway,,,,,47.318,43.581,False,89.3,False,(c) 交差点付近の交差・接続way,144,356912946,primary,54.065,230895574,primary,73.626,19.562,False,False
品川→東京,9,18,35.63145,139.74498,313,1450174835,footway,,,,,9.889,356912946,primary,,,yes,旧海岸通り,16.612,6.723,False,0.2,False,(b) 車道と並走する歩道・自転車道,144,356912946,primary,16.612,491862322,primary,41.464,24.852,False,False
品川→東京,10,21,35.63329,139.74537,313,230895574,primary,,,yes,旧海岸通り,1.111,1450872526,footway,,,,,5.82,4.709,False,0.2,False,(b) 車道と並走する歩道・自転車道,144,230895574,primary,1.111,491862322,primary,10.044,8.933,False,False
