label,sample_idx,route_idx,lat,lng,margin_m,geometric_ambiguous_2m,decision_tuple_diff,semantic_decision_tuple_diff,decision_impact_ambiguous_2m,violation_flip,violation_flip_ambiguous_2m,rank1_way_id,rank1_highway,rank1_oneway,rank1_oneway_semantic,rank1_direction,rank1_exemption,rank1_status,rank1_violation,rank1_misaligned,rank2_way_id,rank2_highway,rank2_oneway,rank2_oneway_semantic,rank2_direction,rank2_exemption,rank2_status,rank2_violation,rank2_misaligned
品川→東京,28,40,35.67125,139.76499,0.552,True,True,True,True,False,False,1090618166,trunk,yes,forward,with,,legal_forward,False,False,669755800,footway,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
品川→東京,29,41,35.67476,139.76873,2.79,False,True,True,False,False,False,1026056857,trunk,yes,forward,with,,legal_forward,False,False,1070720649,tertiary,,none,not_applicable,,out_of_scope_no_oneway,False,False
品川→東京,30,42,35.67536,139.76923,1.457,True,True,True,True,False,False,40969586,unclassified,yes,forward,against,,out_of_scope_axis_misaligned,False,True,40969585,unclassified,yes,forward,with,,out_of_scope_axis_misaligned,False,True
品川→東京,31,43,35.67616,139.76965,0.081,True,True,True,True,False,False,1070720653,trunk,yes,forward,with,,out_of_scope_axis_misaligned,False,True,23770583,tertiary,yes,forward,with,,legal_forward,False,False
品川→東京,32,44,35.67721,139.76717,2.623,False,True,True,False,False,False,203572465,secondary,yes,forward,with,,out_of_scope_axis_misaligned,False,True,23770583,tertiary,yes,forward,with,,legal_forward,False,False
品川→東京,33,45,35.67722,139.76665,5.943,False,True,True,False,False,False,676291216,secondary,yes,forward,with,,legal_forward,False,False,203572501,footway,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
品川→東京,34,46,35.67738,139.76579,3.874,False,True,True,False,False,False,1485371598,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False,1105155928,secondary,yes,forward,with,,legal_forward,False,False
品川→東京,35,47,35.67741,139.76558,0.545,True,False,False,False,False,False,1360102103,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False,1450867349,steps,,none,not_applicable,,out_of_scope_no_oneway,False,False
渋谷→六本木,0,0,35.65792,139.70354,2.796,False,False,False,False,False,False,680253718,pedestrian,,none,not_applicable,,out_of_scope_no_oneway,False,False,664521510,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False
渋谷→六本木,1,1,35.65798,139.7042,5.538,False,False,False,False,False,False,664881024,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False,680253719,pedestrian,,none,not_applicable,,out_of_scope_no_oneway,False,False
