label,sample_idx,route_idx,lat,lng,candidate_count,node_rank1_way_id,node_rank1_group,rank1_way_id,rank1_group,rank1_highway,rank1_oneway,rank1_name,rank1_bicycle,rank1_dist_m,rank2_way_id,rank2_highway,rank2_oneway,rank2_dist_m,match_margin_m,match_ambiguous,rank1_is_nonroad,rank1_bicycle_exempt,rank1_excluded,filt_rank1_way_id,filt_rank1_group,filt_rank1_highway,filt_rank1_oneway,filt_rank1_name,filt_rank1_dist_m,filt_fallback_used,switched,oneway_violation_baseline,oneway_confidence_baseline,oneway_misaligned_baseline,oneway_violation_filtered,oneway_confidence_filtered,oneway_misaligned_filtered,violation_changed,diag_angle_baseline_deg,diag_angle_filtered_deg
新宿→池袋,22,25,35.7252,139.71136,188,648625671,,228180934,,primary,yes,明治通り,,2.964,648625671,primary,yes,4.482,1.518,True,False,False,False,228180934,,primary,yes,明治通り,2.964,False,False,True,1.0,False,True,1.0,False,False,169.4,169.4
新宿→池袋,23,26,35.72704,139.71183,188,156246572,,1128023036,,primary,yes,明治通,,1.924,156246572,residential,yes,2.051,0.127,True,False,False,False,1128023036,,primary,yes,明治通,1.924,False,False,False,0.0,False,False,0.0,False,False,15.2,15.2
新宿→池袋,24,27,35.7272,139.71112,188,156246572,,156246572,,residential,yes,,,0.87,1128023039,footway,,2.573,1.704,True,False,False,False,156246572,,residential,yes,,0.87,False,False,False,0.0,False,False,0.0,False,False,15.7,15.7
東京→渋谷,0,0,35.67791,139.76377,342,682973093,,1450867353,,footway,,,,3.744,387312965,secondary,yes,5.704,1.96,True,True,False,True,387312965,,secondary,yes,鍛冶橋通り,5.704,False,True,False,0.0,False,False,0.0,False,False,178.4,1.8
東京→渋谷,1,1,35.67841,139.76102,342,59266960,,59266960,,trunk,yes,日比谷通り,,0.23,387312967,secondary,yes,4.652,4.422,False,False,False,False,59266960,,trunk,yes,日比谷通り,0.23,False,False,False,0.0,False,False,0.0,False,False,33.8,33.8
東京→渋谷,2,2,35.67519,139.75985,342,59266960,,59266960,,trunk,yes,日比谷通り,,0.259,474593059,footway,,8.642,8.383,False,False,False,False,59266960,,trunk,yes,日比谷通り,0.259,False,False,False,0.0,False,False,0.0,False,False,1.0,1.0
東京→渋谷,3,4,35.67538,139.75892,342,157191451,,157191451,,trunk,yes,晴海通り,,0.82,45171692,primary,yes,7.485,6.665,False,False,False,False,157191451,,trunk,yes,晴海通り,0.82,False,False,False,0.0,False,False,0.0,False,False,1.3,1.3
東京→渋谷,4,5,35.67745,139.75394,342,391703261,,206353802,,trunk_link,yes,桜田通り,,1.721,631239776,trunk,yes,1.932,0.21,True,False,False,False,206353802,,trunk_link,yes,桜田通り,1.721,False,False,False,0.0,False,False,0.0,False,False,25.7,25.7
東京→渋谷,5,6,35.67736,139.75343,342,206353802,,206353802,,trunk_link,yes,桜田通り,,0.848,583110309,footway,,1.371,0.523,True,False,False,False,206353802,,trunk_link,yes,桜田通り,0.848,False,False,False,0.0,False,False,0.0,False,False,44.8,44.8
東京→渋谷,6,7,35.67466,139.75165,342,662063657,,662063657,,footway,,霞ケ関,,1.98,813532923,trunk,yes,2.332,0.352,True,True,False,True,813532923,,trunk,yes,桜田通り,2.332,False,True,False,0.0,False,False,0.0,False,False,59.4,3.9
東京→渋谷,7,8,35.67293,139.7505,342,243268913,,243268913,,tertiary,yes,国会通り,,0.961,813532923,trunk,yes,1.847,0.886,True,False,False,False,243268913,,tertiary,yes,国会通り,0.961,False,False,False,0.0,True,False,0.0,True,False,84.1,84.1
東京→渋谷,8,9,35.67028,139.74934,342,678474455,,931757787,,trunk,yes,桜田通り,,1.785,678476157,footway,,4.707,2.923,False,False,False,False,931757787,,trunk,yes,桜田通り,1.785,False,False,False,0.0,False,False,0.0,False,False,3.7,3.7
東京→渋谷,9,10,35.669,139.74859,342,431885999,,931757787,,trunk,yes,桜田通り,,0.246,474603749,footway,,5.756,5.51,False,False,False,False,931757787,,trunk,yes,桜田通り,0.246,False,False,False,0.0,False,False,0.0,False,False,3.6,3.6
東京→渋谷,10,11,35.66449,139.74651,342,931757787,,931757787,,trunk,yes,桜田通り,,0.017,474600371,footway,,7.123,7.106,False,False,False,False,931757787,,trunk,yes,桜田通り,0.017,False,False,False,0.0,False,False,0.0,False,False,0.2,0.2
東京→渋谷,11,12,35.66321,139.74533,342,253812412,,931757787,,trunk,yes,桜田通り,,1.843,683135150,tertiary,,2.889,1.046,True,False,False,False,931757787,,trunk,yes,桜田通り,1.843,False,False,False,0.0,False,False,0.0,False,False,13.0,13.0
東京→渋谷,12,13,35.66203,139.74425,342,253812412,,253812412,,trunk,yes,桜田通り,yes,1.223,1192656136,footway,,3.747,2.524,False,False,False,False,253812412,,trunk,yes,桜田通り,1.223,False,False,False,0.0,False,False,0.0,False,False,0.8,0.8
東京→渋谷,13,14,35.66078,139.74336,342,204077031,,253812412,,trunk,yes,桜田通り,yes,3.2,474600366,footway,,6.021,2.82,False,False,False,False,253812412,,trunk,yes,桜田通り,3.2,False,False,False,0.0,False,False,0.0,False,False,6.5,6.5
東京→渋谷,14,15,35.66019,139.74304,342,1035341897,,1035341897,,trunk,yes,桜田通り,yes,3.021,858775690,trunk,yes,9.9,6.878,False,False,False,False,1035341897,,trunk,yes,桜田通り,3.021,False,False,False,0.0,False,False,0.0,False,False,0.1,0.1
東京→渋谷,15,16,35.6598,139.743,342,474601303,B,858775693,,trunk,yes,桜田通り,yes,1.34,858775686,primary,yes,2.22,0.881,True,False,False,False,858775693,,trunk,yes,桜田通り,1.34,False,False,False,0.0,False,False,0.0,False,False,22.8,22.8
東京→渋谷,16,17,35.65947,139.74263,342,19023682,,19023682,,primary_link,yes,,,0.238,858775692,primary,yes,4.17,3.932,False,False,False,False,19023682,,primary_link,yes,,0.238,False,False,False,0.0,False,False,0.0,False,False,37.4,37.4
東京→渋谷,17,18,35.65958,139.7419,342,1254228152,,858775692,,primary,yes,外苑東通り,,0.215,1254228152,footway,,3.562,3.348,False,False,False,False,858775692,,primary,yes,外苑東通り,0.215,False,False,False,0.0,False,False,0.0,False,False,0.1,0.1
東京→渋谷,18,19,35.66017,139.74041,342,271979254,B,858775692,,primary,yes,外苑東通り,,0.802,682315373,footway,,4.484,3.682,False,False,False,False,858775692,,primary,yes,外苑東通り,0.802,False,False,False,0.0,False,False,0.0,False,False,4.1,4.1
東京→渋谷,19,20,35.66114,139.73794,342,858775692,,1344791873,,primary,yes,外苑東通り,,0.078,1344791874,secondary,yes,2.184,2.106,False,False,False,False,1344791873,,primary,yes,外苑東通り,0.078,False,False,False,0.0,False,False,0.0,False,False,1.6,1.6
